A052n_PN2e_00004-3	reltype=after	'なくし'	ブッシュ政権[JSP]歯止めなくし右傾化に拍車	['5']
A052n_PN2e_00004-26	reltype=after	'述べる'	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['37']
A052n_PN2e_00004-26	reltype=after	'とどまっ'	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['39']
A052n_PN2e_00004-27	reltype=after	'予測'	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['24']
A052n_PN2e_00004-27	reltype=before	'出馬'	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['31']
A052n_PN2e_00004-28	reltype=after	'要求'	[JSP]議長はまた、米国などが要求する改革は進展しているとし、国際社会の支援への期待を示した。	['9']
A052n_PN2e_00004-28	reltype=overlap	'進展'	[JSP]議長はまた、米国などが要求する改革は進展しているとし、国際社会の支援への期待を示した。	['13']
A052n_PN2e_00004-28	reltype=after	'し'	[JSP]議長はまた、米国などが要求する改革は進展しているとし、国際社会の支援への期待を示した。	['14']
A052n_PN2e_00004-28	reltype=after	'示し'	[JSP]議長はまた、米国などが要求する改革は進展しているとし、国際社会の支援への期待を示した。	['28']
A052n_PN2e_00004-29	reltype=overlap	'行う'	さらに、自治政府とイスラエルが十三日に再び高官レベルの協議を行うことを明らかにした。	['18']
A052n_PN2e_00004-29	reltype=after	'し'	さらに、自治政府とイスラエルが十三日に再び高官レベルの協議を行うことを明らかにした。	['23']
A052n_PN2e_00004-34	reltype=overlap	'流れる'	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['5']
A052n_PN2e_00004-34	reltype=after	'架け'	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['13']
A052n_PN2e_00004-34	reltype=after	'破壊'	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['20']
A052n_PN2e_00004-35	reltype=before	'現す'	工事は約十八カ月で終了予定で、二〇〇四年には、世界的に知られた美しいアーチ形の石橋が再び姿を現す。	['35']
A052n_PN2e_00004-36	reltype=after	'なり'	[JSP]橋はオスマン・トルコが建設、多民族が共存する町のシンボルとなり、国連教育科学文化機関（ユネスコ）が保護建造物に指定していた。	['19']
A052n_PN2e_00004-36	reltype=after	'指定'	[JSP]橋はオスマン・トルコが建設、多民族が共存する町のシンボルとなり、国連教育科学文化機関（ユネスコ）が保護建造物に指定していた。	['34']
A052n_PN2e_00004-37	reltype=after	'破壊'	[JSP]しかし内戦中の一九九三年にクロアチア人勢力の砲撃で破壊され、モスタルの町は川の東岸にイスラム教徒、西岸にクロアチア人が住む完全な民族分断状態に。	['18']
A052n_PN2e_00004-38	reltype=after	'使わ'	[JSP]再建工事は世界銀行などの支援で進められ、もともと使われていた石を含め、既に千八十八個の石材の準備も完了、先月二十七日には起工式が行われた。	['15']
A052n_PN2e_00004-38	reltype=after	'行わ'	[JSP]再建工事は世界銀行などの支援で進められ、もともと使われていた石を含め、既に千八十八個の石材の準備も完了、先月二十七日には起工式が行われた。	['45']
A052n_PN2e_00004-39	reltype=after	'参加'	[JSP]起工式に参加したイタリアのチャンピ大統領は「橋は欧州で（民族と民族の）きずなとしての象徴的な役割を再び果たすことになるだろう」と述べた。	['5']
A052n_PN2e_00004-39	reltype=after	'述べ'	[JSP]起工式に参加したイタリアのチャンピ大統領は「橋は欧州で（民族と民族の）きずなとしての象徴的な役割を再び果たすことになるだろう」と述べた。	['42']

