A037n_PN2d_00003-5	reltype=after	'続伸'	[JSP]東京株式市場の株価が四日、大幅に続伸した。	['13']
A037n_PN2d_00003-26	reltype=after	'戻り'	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['9']
A037n_PN2d_00003-26	reltype=after	'あっ'	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['14']
A037n_PN2d_00003-26	reltype=after	'上げ'	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['26']
A037n_PN2d_00003-27	reltype=after	'走っ'	[JSP]これまで売りに走っていた外国人投資家が「景気の下げ止まり感も出てきた」（外資系証券）と、買いに回っていることも市場に買いへの安心感を誘った。	['6']
A037n_PN2d_00003-27	reltype=after	'出'	[JSP]これまで売りに走っていた外国人投資家が「景気の下げ止まり感も出てきた」（外資系証券）と、買いに回っていることも市場に買いへの安心感を誘った。	['21']
A037n_PN2d_00003-27	reltype=after	'誘っ'	[JSP]これまで売りに走っていた外国人投資家が「景気の下げ止まり感も出てきた」（外資系証券）と、買いに回っていることも市場に買いへの安心感を誘った。	['48']
A037n_PN2d_00003-28	reltype=after	'安'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['20']
A037n_PN2d_00003-28	reltype=after	'思っ'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['23']
A037n_PN2d_00003-28	reltype=after	'上がっ'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['28']
A037n_PN2d_00003-28	reltype=after	'打ち出し'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['57']
A037n_PN2d_00003-28	reltype=after	'ある'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['69']
A037n_PN2d_00003-28	reltype=after	'自画'	[JSP]四日夕の記者会見で、福田康夫官房長官は「日本の株式は安すぎると思っていた。上がって当然という感じ」と歓迎、株価上昇の要因として「デフレ対策、日銀が積極的な金融緩和を打ち出したこと、不良債権処理への期待などがあるのだろう」と自画自賛した。	['74']
A037n_PN2d_00003-29	reltype=after	'超え'	金融庁の森昭治長官も東京市場の株式売買高が一兆円を超えたことで「市場の取引が厚くなっていることは歓迎できる」と指摘している。	['19']
A037n_PN2d_00003-29	reltype=after	'歓迎'	金融庁の森昭治長官も東京市場の株式売買高が一兆円を超えたことで「市場の取引が厚くなっていることは歓迎できる」と指摘している。	['34']
A037n_PN2d_00003-29	reltype=after	'指摘'	金融庁の森昭治長官も東京市場の株式売買高が一兆円を超えたことで「市場の取引が厚くなっていることは歓迎できる」と指摘している。	['38']
A037n_PN2d_00003-30	reltype=after	'いう'	ただ、このまま一本調子で株価が上昇する、という関係者はほとんどいない。	['15']
A037n_PN2d_00003-30	reltype=after	'い'	ただ、このまま一本調子で株価が上昇する、という関係者はほとんどいない。	['20']
A037n_PN2d_00003-33	reltype=before	'迎える'	[JSP]市場は、銀行が決算を迎える三月末を一つのポイントとみている。	['9']
A037n_PN2d_00003-34	reltype=before	'なっ'	四月になって公的資金による金融機関への資本注入や、財政出動も含めた“デフレ対策第二弾”が出てくるかどうか。	['4']
A037n_PN2d_00003-34	reltype=before	'出'	四月になって公的資金による金融機関への資本注入や、財政出動も含めた“デフレ対策第二弾”が出てくるかどうか。	['31']
A037n_PN2d_00003-35	reltype=before	'にらん'	新年度をにらんだ“官製相場”が“対策催促相場”に変わる公算は大きい。	['4']
A037n_PN2d_00003-35	reltype=before	'変わる'	新年度をにらんだ“官製相場”が“対策催促相場”に変わる公算は大きい。	['17']
A037n_PN2d_00003-37	reltype=after	'記録'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['12']
A037n_PN2d_00003-37	reltype=after	'底離れ'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['24']
A037n_PN2d_00003-37	reltype=after	'判断'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['28']
A037n_PN2d_00003-37	reltype=before	'なる'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['50']
A037n_PN2d_00003-37	reltype=before	'握る'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['59']
A037n_PN2d_00003-37	reltype=after	'指摘'	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['62']
A037n_PN2d_00003-38	reltype=before	'伴い'	[JSP]特に持ち合い解消に伴い、事業会社が保有する銀行株の放出に注目が集まる。	['6']
A037n_PN2d_00003-38	reltype=overlap	'保有'	[JSP]特に持ち合い解消に伴い、事業会社が保有する銀行株の放出に注目が集まる。	['11']
A037n_PN2d_00003-38	reltype=before	'集まる'	[JSP]特に持ち合い解消に伴い、事業会社が保有する銀行株の放出に注目が集まる。	['20']
A037n_PN2d_00003-39	reltype=after	'上げ'	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['32']
A037n_PN2d_00003-39	reltype=before	'狙っ'	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['38']
A037n_PN2d_00003-39	reltype=before	'加速'	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['46']
A037n_PN2d_00003-40	reltype=before	'出る'	大和総研のマーケットアナリスト、壁谷洋和氏は「持ち合い株解消だけでなく、利益確定売りも出る」として、今後も買いが続くのは難しいとみる。	['23']
A037n_PN2d_00003-40	reltype=after	'し'	大和総研のマーケットアナリスト、壁谷洋和氏は「持ち合い株解消だけでなく、利益確定売りも出る」として、今後も買いが続くのは難しいとみる。	['26']
A037n_PN2d_00003-40	reltype=before	'続く'	大和総研のマーケットアナリスト、壁谷洋和氏は「持ち合い株解消だけでなく、利益確定売りも出る」として、今後も買いが続くのは難しいとみる。	['33']
A037n_PN2d_00003-40	reltype=after	'みる'	大和総研のマーケットアナリスト、壁谷洋和氏は「持ち合い株解消だけでなく、利益確定売りも出る」として、今後も買いが続くのは難しいとみる。	['38']
A037n_PN2d_00003-41	reltype=after	'みる'	[JSP]一方、日興ソロモン・スミス・バーニー証券は、市場参加者の心理的な「上値抵抗ライン」を平均株価一万二一〇〇円前後とみる。	['37']
A037n_PN2d_00003-42	reltype=before	'超えれ'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['5']
A037n_PN2d_00003-42	reltype=before	'めざす'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['11']
A037n_PN2d_00003-42	reltype=before	'期待'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['14']
A037n_PN2d_00003-42	reltype=before	'抜け'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['42']
A037n_PN2d_00003-42	reltype=before	'終わる'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['52']
A037n_PN2d_00003-42	reltype=after	'いう'	[JSP]このラインを超えれば、さらに上値をめざす展開も期待できそうだが、ＢＮＰパリバ証券のチーフエコノミスト、河野龍太郎氏は「デフレや不良債権処理で政府が手を抜けば、株高は一時的なものに終わる」という。	['55']
A037n_PN2d_00003-46	reltype=after	'選出'	[JSP]国連管理下のユーゴスラビア連邦コソボ自治州議会は四日、圧倒的多数で民主同盟のイブラヒム・ルゴバ議長（五七）を州大統領に選出した。	['35']
A037n_PN2d_00003-47	reltype=after	'経'	北大西洋条約機構（ＮＡＴＯ）によるユーゴ空爆から約三年を経て、ようやく「自治州政府」が誕生することになる。	['18']
A037n_PN2d_00003-48	reltype=after	'実施'	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['12']
A037n_PN2d_00003-48	reltype=after	'めぐっ'	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['35']
A037n_PN2d_00003-48	reltype=after	'対立'	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['37']
A037n_PN2d_00003-48	reltype=after	'続い'	コソボでは昨年十一月に総選挙が実施されたが、穏健派の民主同盟と民族主義強硬派が大統領や閣僚のポストをめぐって対立し、政治的空白が続いていた。	['44']
A037n_PN2d_00003-49	reltype=before	'なる'	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['11']
A037n_PN2d_00003-49	reltype=before	'協調'	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['20']
A037n_PN2d_00003-49	reltype=before	'探る'	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['27']
A037n_PN2d_00003-49	reltype=after	'み'	[JSP]今後はコソボの地位問題が焦点となるが、ルゴバ大統領は国際社会と協調しながら独立の道を探るとみられる。	['29']
A037n_PN2d_00003-51	reltype=after	'及ば'	民主同盟は第一党だが、議席数は四十七で、議会定数（一二〇）の過半数に大きく及ばない。	['29']
A037n_PN2d_00003-52	reltype=after	'模索'	このため、ルゴバ氏は第二党の旧コソボ解放軍勢力の民主党（タチ党首）などとの連立を模索した。	['28']
A037n_PN2d_00003-53	reltype=after	'要求'	[JSP]しかし、民主党が同氏と対立する元コソボ解放軍最高幹部のタチ党首の首相就任を要求したため、交渉は決裂。	['24']
A037n_PN2d_00003-54	reltype=after	'実施'	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	['11']
A037n_PN2d_00003-54	reltype=after	'「'	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	[]
A037n_PN2d_00003-54	reltype=after	'演じ'	ルゴバ氏は今年一月までに三度実施された議会による大統領選すべてに「落選」するという失態を演じた。	['30']
A037n_PN2d_00003-55	reltype=after	'し'	国連コソボ暫定統治機構は関係各党を調整、ルゴバ氏を大統領、民主党幹部のレジェピ氏を首相とし、議会勢力に応じてその他の閣僚ポストを分配することで合意に至った。	['26']
A037n_PN2d_00003-55	reltype=before	'分配'	国連コソボ暫定統治機構は関係各党を調整、ルゴバ氏を大統領、民主党幹部のレジェピ氏を首相とし、議会勢力に応じてその他の閣僚ポストを分配することで合意に至った。	['39']
A037n_PN2d_00003-55	reltype=after	'至っ'	国連コソボ暫定統治機構は関係各党を調整、ルゴバ氏を大統領、民主党幹部のレジェピ氏を首相とし、議会勢力に応じてその他の閣僚ポストを分配することで合意に至った。	['45']
A037n_PN2d_00003-57	reltype=after	'指導'	[JSP]ユーゴのミロシェビッチ前体制に対するアルバニア系住民の非暴力抵抗運動を指導した「コソボのガンジー」こと、イブラヒム・ルゴバ氏は苦節十年余、晴れて国際社会も認知するコソボの最高指導者の座を射止めた。	['18']
A037n_PN2d_00003-57	reltype=after	'射止め'	[JSP]ユーゴのミロシェビッチ前体制に対するアルバニア系住民の非暴力抵抗運動を指導した「コソボのガンジー」こと、イブラヒム・ルゴバ氏は苦節十年余、晴れて国際社会も認知するコソボの最高指導者の座を射止めた。	['53']
A037n_PN2d_00003-59	reltype=after	'主宰'	文芸評論誌を主宰するなど、文学活動を通じて名を知られるようになり、政治運動の中核となっていたコソボ作家協会の会長に就任。	['5']
A037n_PN2d_00003-59	reltype=after	'知ら'	文芸評論誌を主宰するなど、文学活動を通じて名を知られるようになり、政治運動の中核となっていたコソボ作家協会の会長に就任。	['16']
A037n_PN2d_00003-59	reltype=after	'なり'	文芸評論誌を主宰するなど、文学活動を通じて名を知られるようになり、政治運動の中核となっていたコソボ作家協会の会長に就任。	['20']
A037n_PN2d_00003-59	reltype=after	'なっ'	文芸評論誌を主宰するなど、文学活動を通じて名を知られるようになり、政治運動の中核となっていたコソボ作家協会の会長に就任。	['27']
A037n_PN2d_00003-60	reltype=after	'抗議'	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['12']
A037n_PN2d_00003-60	reltype=after	'主導'	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['16']
A037n_PN2d_00003-60	reltype=after	'結成'	一九八九年のコソボの自治撤廃に抗議する運動を主導し、コソボ民主同盟を結成した。	['23']

