A031n_PN5b_00002-3	reltype=vague	['集まれ', 'アジサシ']	['集まる', '鯵刺し']	集まれ コ アジサシ	集まる [JSP] 小 鯵刺し	['1', '4']
A031n_PN5b_00002-12	reltype=after	['かすめ']	['掠める']	作業 中 何 度 も コ アジサシ が 上 を かすめ た 。	作業 中 何 度 も 小 鯵刺し が 上 を 掠める た 。	['11']
A031n_PN5b_00002-14	reltype=after	['なり', 'なっ']	['成る', '成る']	この 屋上 は ０ １ 年 春 に 突然 、 オーストラリア や 東南 アジア から やっ て くる カモメ科 の コ アジサシ の 子育て の 場 と なり 、 話題 に なっ た 。	[JSP] 此の 屋上 は 零 一 年 春 に 突然 、 オーストラリア や 東南 アジア から 遣る て 来る 鴎科 の 小 鯵刺し の 子育て の 場 と 成る 、 話題 に 成る た 。	['29', '33']
A031n_PN5b_00002-14	reltype=after	['なっ']	['成る']	この 屋上 は ０ １ 年 春 に 突然 、 オーストラリア や 東南 アジア から やっ て くる カモメ科 の コ アジサシ の 子育て の 場 と なり 、 話題 に なっ た 。	[JSP] 此の 屋上 は 零 一 年 春 に 突然 、 オーストラリア や 東南 アジア から 遣る て 来る 鴎科 の 小 鯵刺し の 子育て の 場 と 成る 、 話題 に 成る た 。	['33']
A031n_PN5b_00002-16	reltype=overlap	['ある']	['有る']	しかし 、 対岸 の 空港 と の 間 に 餌場 の 干潟 が ある 。	然し 、 対岸 の 空港 と の 間 に 餌場 の 干潟 が 有る 。	['14']
A031n_PN5b_00002-17	reltype=after	['減っ', '湾']	['減る', '湾']	湿地 や 干潟 、 河原 など が 埋め立て で 減っ た 東京 湾 。	湿地 や 干潟 、 川原 など が 埋め立て で 減る た トウキョウ 湾 。	['10', '13']
A031n_PN5b_00002-18	reltype=overlap	['追い詰め', '話す']	['追い詰める', '話す']	プロジェクト の 増田 直也 代表 （ ５ １ ） は 「 鳥 たち は 屋上 に まで 追い詰め られ て いる ん です 」 と 話す 。	プロジェクト の マスダ ナオヤ 代表 （ 五 一 ） は 「 鳥 達 は 屋上 に まで 追い詰める られる て 居る の です 」 と 話す 。	['18', '26']
A031n_PN5b_00002-18	reltype=after	['話す']	['話す']	プロジェクト の 増田 直也 代表 （ ５ １ ） は 「 鳥 たち は 屋上 に まで 追い詰め られ て いる ん です 」 と 話す 。	プロジェクト の マスダ ナオヤ 代表 （ 五 一 ） は 「 鳥 達 は 屋上 に まで 追い詰める られる て 居る の です 」 と 話す 。	['26']
A031n_PN5b_00002-19	reltype=after	['営巣', 'し', '茂っ']	['営巣', '為る', '茂る']	３ 年 続き で 営巣 し た が 、 昨年 は 草 が 茂っ た 。	[JSP] 三 年 続き で 営巣 為る た が 、 昨年 は 草 が 茂る た 。	['6', '7', '15']
A031n_PN5b_00002-19	reltype=after	['茂っ']	['茂る']	３ 年 続き で 営巣 し た が 、 昨年 は 草 が 茂っ た 。	[JSP] 三 年 続き で 営巣 為る た が 、 昨年 は 草 が 茂る た 。	['15']
A031n_PN5b_00002-20	reltype=after	['刈り', '置い', 'つ']	['刈る', '置く', 'つ']	延べ ４ ５ ０ 人 で 刈り 、 ３ ８ 体 の デコイ を 初めて 置い た が 、 裸地 を 好む コ アジサシ に 嫌わ れ た か 、 巣 は 一 つ だけ 。	延べ 四 五 零 人 で 刈る 、 三 八 体 の デコイ を 初めて 置く た が 、 裸地 を 好む 小 鯵刺し に 嫌う れる た か 、 巣 は 一 つ だけ 。	['7', '16', '34']
A031n_PN5b_00002-20	reltype=after	['置い', 'つ']	['置く', 'つ']	延べ ４ ５ ０ 人 で 刈り 、 ３ ８ 体 の デコイ を 初めて 置い た が 、 裸地 を 好む コ アジサシ に 嫌わ れ た か 、 巣 は 一 つ だけ 。	延べ 四 五 零 人 で 刈る 、 三 八 体 の デコイ を 初めて 置く た が 、 裸地 を 好む 小 鯵刺し に 嫌う れる た か 、 巣 は 一 つ だけ 。	['16', '34']
A031n_PN5b_00002-20	reltype=after	['嫌わ', 'つ']	['嫌う', 'つ']	延べ ４ ５ ０ 人 で 刈り 、 ３ ８ 体 の デコイ を 初めて 置い た が 、 裸地 を 好む コ アジサシ に 嫌わ れ た か 、 巣 は 一 つ だけ 。	延べ 四 五 零 人 で 刈る 、 三 八 体 の デコイ を 初めて 置く た が 、 裸地 を 好む 小 鯵刺し に 嫌う れる た か 、 巣 は 一 つ だけ 。	['26', '34']
A031n_PN5b_00002-21	reltype=after	['敷き詰め', 'し']	['敷き詰める', '為る']	この ため 、 都 と プロジェクト は 、 屋上 ７ ヘクタール の ほとんど の 約 ６ ・ ２ ヘクタール を 営巣 地 に と 川砂利 や コンクリート 片 を 敷き詰め 、 草 が 生え やすい 細粒 を ほぼ 撤去 し た 。	此の 為 、 都 と プロジェクト は 、 屋上 七 ヘクタール の 殆ど の 約 六 ・ 二 ヘクタール を 営巣 地 に と 川砂利 や コンクリート 片 を 敷き詰める 、 草 が 生える 易い 細粒 を 略 撤去 為る た 。	['30', '40']
A031n_PN5b_00002-21	reltype=after	['撤去', 'し']	['撤去', '為る']	この ため 、 都 と プロジェクト は 、 屋上 ７ ヘクタール の ほとんど の 約 ６ ・ ２ ヘクタール を 営巣 地 に と 川砂利 や コンクリート 片 を 敷き詰め 、 草 が 生え やすい 細粒 を ほぼ 撤去 し た 。	此の 為 、 都 と プロジェクト は 、 屋上 七 ヘクタール の 殆ど の 約 六 ・ 二 ヘクタール を 営巣 地 に と 川砂利 や コンクリート 片 を 敷き詰める 、 草 が 生える 易い 細粒 を 略 撤去 為る た 。	['39', '40']
A031n_PN5b_00002-22	reltype=after	['張り', '置く', 'こらす']	['張る', '置く', '凝らす']	カラスよけ の 糸 を 張り 、 ひな の ため の 筒型 シェルター を 置く など 、 恒久 的 な 営巣 地 に する ため 、 あの 手 この 手 の 工夫 を こらす 。	烏除け の 糸 を 張る 、 雛 の 為 の 筒形 シェルター を 置く など 、 恒久 的 だ 営巣 地 に 為る 為 、 彼の 手 此の 手 の 工夫 を 凝らす 。	['5', '14', '33']
A031n_PN5b_00002-22	reltype=after	['置く', 'こらす']	['置く', '凝らす']	カラスよけ の 糸 を 張り 、 ひな の ため の 筒型 シェルター を 置く など 、 恒久 的 な 営巣 地 に する ため 、 あの 手 この 手 の 工夫 を こらす 。	烏除け の 糸 を 張る 、 雛 の 為 の 筒形 シェルター を 置く など 、 恒久 的 だ 営巣 地 に 為る 為 、 彼の 手 此の 手 の 工夫 を 凝らす 。	['14', '33']
A031n_PN5b_00002-25	reltype=overlap	['生活', 'できる', '環境', 'あれ', '集まり', '生きる']	['生活', '出来る', '環境', '有る', '集まる', '生きる']	大 都会 の 東京 湾岸 で も 生活 できる 環境 さえ あれ ば 、 シギ や チドリ など 多く の 鳥 が 集まり 、 たくましく 生きる 。	大 都会 の トウキョウ 湾岸 で も 生活 出来る 環境 さえ 有る ば 、 鴫 や 千鳥 など 多く の 鳥 が 集まる 、 逞しい 生きる 。	['8', '9', '10', '12', '23', '26']
A031n_PN5b_00002-28	reltype=before	['ある', '日', '券']	['有る', '日', '券']	東京 バード フェスティバル が ある １ ４ 、 １ ５ 日 のみ 、 同 センター 屋上 が 見学 できる （ 要 整理 券 ） 。	[JSP] トウキョウ バード フェスティバル が 有る 一 四 、 一 五 日 のみ 、 同 センター 屋上 が 見学 出来る （ 要 整理 券 ） 。	['6', '12', '24']
A031n_PN5b_00002-28	reltype=before	['見学', '券']	['見学', '券']	東京 バード フェスティバル が ある １ ４ 、 １ ５ 日 のみ 、 同 センター 屋上 が 見学 できる （ 要 整理 券 ） 。	[JSP] トウキョウ バード フェスティバル が 有る 一 四 、 一 五 日 のみ 、 同 センター 屋上 が 見学 出来る （ 要 整理 券 ） 。	['19', '24']
A031n_PN5b_00002-32	reltype=after	['設置', 'する', 'メンバー', '写す']	['設置', '為る', 'メンバー', '写す']	デコイ を 設置 する リトル ターン ・ プロジェクト の メンバー ＝ 森ケ崎 水 再生 センター の 屋上 で ３ 日 、 馬場 理沙 写す	デコイ を 設置 為る リトル ターン ・ プロジェクト の メンバー ＝ モリガサキ 水 再生 センター の 屋上 で 三 日 、 ババ リサ 写す	['3', '4', '10', '24']
A031n_PN5b_00002-32	reltype=after	['写す']	['写す']	デコイ を 設置 する リトル ターン ・ プロジェクト の メンバー ＝ 森ケ崎 水 再生 センター の 屋上 で ３ 日 、 馬場 理沙 写す	デコイ を 設置 為る リトル ターン ・ プロジェクト の メンバー ＝ モリガサキ 水 再生 センター の 屋上 で 三 日 、 ババ リサ 写す	['24']
A031n_PN5b_00002-36	reltype=before	['作る', '会', 'あっ']	['作る', '会', '有る']	学校 ・ 学級 通信 を 中学 の 先生 が 作る ため の 講習 会 が ７ 日 、 荒川 区 立 諏訪 台 中 で あっ た 。	[JSP] 学校 ・ 学級 通信 を 中学 の 先生 が 作る 為 の 講習 会 が 七 日 、 アラカワ 区 立 スワ 台 中 で 有る た 。	['11', '15', '27']
A031n_PN5b_00002-36	reltype=after	['あっ']	['有る']	学校 ・ 学級 通信 を 中学 の 先生 が 作る ため の 講習 会 が ７ 日 、 荒川 区 立 諏訪 台 中 で あっ た 。	[JSP] 学校 ・ 学級 通信 を 中学 の 先生 が 作る 為 の 講習 会 が 七 日 、 アラカワ 区 立 スワ 台 中 で 有る た 。	['27']
A031n_PN5b_00002-37	reltype=overlap	['取り組む', '会長', 'し', 'し']	['取り組む', '会長', '為る', '為る']	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ 越田 清四郎 会長 ） が 総会 に 合わせ て 企画 し 、 約 ２ ０ 人 が 受講 し た 。	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ コシダ セイシロウ 会長 ） が 総会 に 合わせる て 企画 為る 、 約 二 零 人 が 受講 為る た 。	['10', '21', '29', '37']
A031n_PN5b_00002-37	reltype=after	['合わせ', 'し', 'し']	['合わせる', '為る', '為る']	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ 越田 清四郎 会長 ） が 総会 に 合わせ て 企画 し 、 約 ２ ０ 人 が 受講 し た 。	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ コシダ セイシロウ 会長 ） が 総会 に 合わせる て 企画 為る 、 約 二 零 人 が 受講 為る た 。	['26', '29', '37']
A031n_PN5b_00002-37	reltype=after	['企画', 'し', 'し']	['企画', '為る', '為る']	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ 越田 清四郎 会長 ） が 総会 に 合わせ て 企画 し 、 約 ２ ０ 人 が 受講 し た 。	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ コシダ セイシロウ 会長 ） が 総会 に 合わせる て 企画 為る 、 約 二 零 人 が 受講 為る た 。	['28', '29', '37']
A031n_PN5b_00002-37	reltype=after	['受講', 'し']	['受講', '為る']	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ 越田 清四郎 会長 ） が 総会 に 合わせ て 企画 し 、 約 ２ ０ 人 が 受講 し た 。	ＮＩＥ （ 教育 に 新聞 を ） など に 取り組む 都 中 学校 新聞 教育 研究 会 （ コシダ セイシロウ 会長 ） が 総会 に 合わせる て 企画 為る 、 約 二 零 人 が 受講 為る た 。	['29', '36']
A031n_PN5b_00002-39	reltype=after	['使っ', 'し']	['使う', '為る']	参加 者 は 専用 ソフト を 実際 に 使っ て パソコン で 新聞 づくり に 挑戦 し た 。	参加 者 は 専用 ソフト を 実際 に 使う て パソコン で 新聞 作り に 挑戦 為る た 。	['9', '17']
A031n_PN5b_00002-39	reltype=after	['挑戦', 'し']	['挑戦', '為る']	参加 者 は 専用 ソフト を 実際 に 使っ て パソコン で 新聞 づくり に 挑戦 し た 。	参加 者 は 専用 ソフト を 実際 に 使う て パソコン で 新聞 作り に 挑戦 為る た 。	['16', '17']
A031n_PN5b_00002-40	reltype=overlap	['提供', 'し']	['提供', '為る']	研究 会 は ＰＴＡ 広報 紙 や 学校 新聞 など を 作る 際 の 問い合わせ に も 応じ 、 情報 を 提供 し て いる 。	[JSP] 研究 会 は ＰＴＡ 広報 紙 や 学校 新聞 など を 作る 際 の 問い合わせ に も 応ずる 、 情報 を 提供 為る て 居る 。	['23', '24']

