A001n_PN1c_00001-5	reltype=ob	['９', '年', 'し', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4', '6', '13']
A001n_PN1c_00001-42	reltype=overlap	['３', '日', '日', '応じる', '所', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '17', '21', '23', '26', '32']
A001n_PN1c_00001-42	reltype=overlap	['土', '日', '応じる', '所', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '17', '21', '26', '30']
A001n_PN1c_00001-42	reltype=vague	['土', '日', '応じる']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['21', '26', '30']
A001n_PN1c_00001-42	reltype=overlap	['日', '応じる', '所', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '17', '21', '26']
A001n_PN1c_00001-42	reltype=vague	['日', '応じる']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['21', '26']
A002n_PN1d_00001-26	reltype=overlap	['昨年', '月', 'し', 'オープン']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['2', '4', '6', '7']
A002n_PN1d_00001-26	reltype=before	['昨年', '月', 'し', '大阪', '者', 'し', '突破']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['2', '4', '7', '9', '14', '21', '25']
A002n_PN1d_00001-26	reltype=after	['二十', '日', 'し', '者', '大阪', 'し', 'オープン']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['6', '7', '9', '14', '21', '25', '27']
A002n_PN1d_00001-26	reltype=overlap	['二十', '日', 'し', '突破']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['7', '27', '28', '34']
A002n_PN1d_00001-27	reltype=overlap	['一', '年間', '率', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['2', '3', '6', '11']
A002n_PN1d_00001-27	reltype=before	['一', '年間', '率', '上回り', '確実', 'し', 'し']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['2', '3', '6', '11', '18', '34', '38']
A002n_PN1d_00001-27	reltype=overlap	['初', '決算', '確実', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['11', '13', '15', '18']
A002n_PN1d_00001-27	reltype=after	['二', '目', 'し', '確実', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['11', '18', '26', '28', '34']
A002n_PN1d_00001-30	reltype=overlap	['今年', '末', '率', '％', '上回っ']	[JSP]今年三月末までの稼働率は六二％と、当初目標の五五％を大幅に上回った。	['2', '5', '9', '25']
A002n_PN1d_00001-33	reltype=vague	['初', '決算', 'し', '予定']	[JSP]収支見込みも、当初は数年間の赤字が必至とみられていたが、今月三十一日に予定している初年度決算で「経常利益は数億円単位の黒字になる」（山下社長）という。	['27', '28', '31', '33']
A002n_PN1d_00001-33	reltype=before	['初', '決算', '社長', 'いう']	[JSP]収支見込みも、当初は数年間の赤字が必至とみられていたが、今月三十一日に予定している初年度決算で「経常利益は数億円単位の黒字になる」（山下社長）という。	['31', '33', '50', '53']
A003n_PN1e_00001-22	reltype=after	['二十', '日', 'し', 'ランキング', 'まとめ']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['6', '8', '19', '25', '28']
A003n_PN1e_00001-22	reltype=overlap	['二十', '日', 'し', '発表']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['6', '8', '27', '28']
A003n_PN1e_00001-22	reltype=overlap	['二', '中', 'まとめ']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['10', '15', '19']
A003n_PN1e_00001-22	reltype=before	['二', '中', 'まとめ', 'ランキング', 'し', '発表']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['10', '15', '19', '25', '27', '28']
A003n_PN1e_00001-23	reltype=before	['前年', '位', '車', '返り咲い', '支え', 'さ', '減少']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '3', '7', '20', '21', '28', '33']
A003n_PN1e_00001-23	reltype=before	['前年', '位', '車', '返り咲い', '支え']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '3', '7', '28', '33']
A003n_PN1e_00001-23	reltype=before	['前年', '位', '車', '返り咲い']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '3', '7', '28']
A003n_PN1e_00001-25	reltype=before	['昨年', '位', 'ＮＴＴ', 'し', 'なり']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '4', '7', '14', '18']
A003n_PN1e_00001-25	reltype=before	['昨年', '位', 'ＮＴＴ', 'し', '大幅']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '4', '7', '18', '20']
A003n_PN1e_00001-25	reltype=before	['昨年', '位', 'ＮＴＴ', 'し', 'し', '健闘']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '4', '7', '18', '22', '29']
A003n_PN1e_00001-30	reltype=before	['９', '開始', '達し']	※三和銀行とＮＴＴコミュニケーションズ（９９年７月営業開始）は、９９年に申告所得が公示基準（４０００万円以上）に達しなかった。	['8', '9', '14']
A003n_PN1e_00001-35	reltype=before	['二十', '日', 'し', 'する', 'し', '分離']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '7', '21', '22', '45', '60']
A003n_PN1e_00001-35	reltype=before	['二十', '日', 'し', 'する', '東京', 'し', '統合']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '7', '22', '44', '45', '56', '60']
A003n_PN1e_00001-35	reltype=before	['二十', '日', 'し', 'する', '設立']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '7', '22', '45', '59']
A003n_PN1e_00001-35	reltype=overlap	['二十', '日', 'し', '発表']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['5', '7', '22', '45']
A003n_PN1e_00001-35	reltype=overlap	['今年', '付', 'し', '分離']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '13', '21', '22']
A003n_PN1e_00001-35	reltype=overlap	['今年', '付', 'し', 'する', '東京', 'し', '統合']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '13', '22', '44', '45', '56', '60']
A003n_PN1e_00001-35	reltype=overlap	['今年', '付', 'し', 'する', '設立']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '13', '22', '45', '59']
A003n_PN1e_00001-35	reltype=after	['今年', '付', 'し', 'する', 'し', '発表']	[JSP]王子製紙は二十三日、今年十月一日付で同社の段ボール部門を分離し、段ボール子会社の「北海道王子段ボール」（本社・札幌）など七社と統合した新会社「王子コンテナー」（本社・東京）を設立すると発表した。	['9', '13', '22', '45', '60', '62']
A005n_PN2e_00001-9	reltype=ob	['今月', '初め', '行っ']	[JSP]今月初めから町内全戸を対象に希望調査を行っており、五月中旬から回収を始める。	['2', '3', '13']
A005n_PN2e_00001-27	reltype=overlap	['二', '末', 'し', '営業']	公営地下鉄事業は、二〇〇〇年度末で、東京都と八政令市で延べ四百七十三キロが営業している。	['7', '12', '28', '29']
A006n_PN3b_00001-12	reltype=vague	['週', '回', 'する', '分け', '応じ']	能力に応じて３クラス（各１０人）に分け、３人の講師が週２回、すべて英語で授業をする。	['3', '14', '21', '23', '30']
A006n_PN3b_00001-14	reltype=vague	['午前', '半', '時', '出']	学生の研究に支障が出ないよう、授業は午前８時半から１０時まで。	['7', '13', '15', '16']
A006n_PN3b_00001-14	reltype=vague	['１', '時', '出']	学生の研究に支障が出ないよう、授業は午前８時半から１０時まで。	['7', '15', '18']
A006n_PN3b_00001-17	reltype=vague	['２', 'プログラム', '選ば']	[JSP]化学専攻は昨年、文部科学省の「２１世紀ＣＯＥ（センター・オブ・エクセレンス）プログラム」に選ばれた。	['12', '23', '26']
A006n_PN3b_00001-18	reltype=overlap	['５', '年間', 'さ', '加算']	研究・教育予算が５年間、１億〜５億円ずつ加算されることになり、英語特別指導はその予算を利用する。	['6', '7', '12', '16']
A006n_PN3b_00001-19	reltype=after	['毎月', '円', '報酬', '支払う', '結び', '契約', 'する', '雇用']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['34', '35', '36', '38', '45', '52', '54', '56']
A006n_PN3b_00001-19	reltype=after	['毎月', '円', '報酬', '支払う', '結び']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['38', '45', '52', '54', '56']
A006n_PN3b_00001-19	reltype=overlap	['毎月', '円', '報酬', '支払う']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['45', '52', '54', '56']
A006n_PN3b_00001-19	reltype=after	['毎月', '円', '報酬', '支払う', '取り組み', '始め']	[JSP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも始めた。	['45', '52', '54', '56', '57', '59']
A006n_PN3b_00001-27	reltype=overlap	['５', '歳', '日', 'し', '“']	[JSP]米ＣＮＮテレビのプロデューサー、ウェンディ・ウィットワースさんの５０歳の誕生日、夫のラルフさんが“プレゼント”したのは何と、元ビートルズのポール・マッカートニーのプライベートコンサートだった。	['13', '15', '18', '28']
A006n_PN3b_00001-29	reltype=overlap	['約', '半', 'コンサート', '近く', 'し', '上げ']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '4', '6', '9', '20', '29']
A006n_PN3b_00001-29	reltype=overlap	['約', '半', 'コンサート', '近く', 'し', '演奏']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '4', '6', '9', '28', '29']
A006n_PN3b_00001-29	reltype=before	['約', '半', 'コンサート', '近く', 'し', 'いう']	約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したという。	['1', '4', '6', '9', '29', '32']
A006n_PN3b_00001-36	reltype=after	['６', '２', '言い渡し', '絡み', '事件', '組合', '安全', '協和', 'し', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '8', '12', '15', '19', '23', '25', '42', '43', '51']
A006n_PN3b_00001-36	reltype=after	['６', '２', '労相', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '36', '42', '43']
A006n_PN3b_00001-36	reltype=overlap	['６', '２', '言い渡し', 'し', '破棄']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['8', '42', '43', '51', '70']
A006n_PN3b_00001-36	reltype=overlap	['６', '２', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['42', '43', '51']
A006n_PN3b_00001-36	reltype=after	['２', '日', '言い渡し', '絡み', '事件', '組合', '安全', '協和', 'し', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '8', '12', '15', '19', '23', '25', '43', '51', '53']
A006n_PN3b_00001-36	reltype=after	['２', '日', '言い渡し', '２', '労相', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '36', '43', '51', '53', '82']
A006n_PN3b_00001-36	reltype=overlap	['２', '日', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['43', '51', '53']
A006n_PN3b_00001-36	reltype=after	['４', '年', '月', 'し', '言い渡し', '絡み', '事件', '組合', '安全', '協和', 'し', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['3', '4', '6', '8', '12', '15', '19', '23', '25', '29', '56', '57']
A006n_PN3b_00001-36	reltype=after	['４', '年', '月', 'し', '言い渡し', '２', '労相', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['3', '4', '8', '29', '32', '36', '43', '51']
A006n_PN3b_00001-36	reltype=after	['０', '月', 'し', '言い渡し', '絡み', '事件', '組合', '安全', '協和', 'し', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '8', '12', '15', '19', '23', '25', '63', '64', '67', '71']
A006n_PN3b_00001-36	reltype=after	['０', '月', 'し', '言い渡し', '２', '労相', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['8', '32', '36', '43', '51', '63', '64']
A006n_PN3b_00001-36	reltype=before	['０', '月', 'し', '破棄']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['8', '63', '64', '67']
A006n_PN3b_00001-36	reltype=before	['０', '月', 'し', '言い渡し']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['8', '63', '64', '67']
A006n_PN3b_00001-36	reltype=after	['３', '月', '実刑', '言い渡し', '絡み', '事件', '組合', '安全', '協和', 'し', '経営']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['6', '8', '12', '15', '19', '23', '25', '66', '67', '71', '75']
A006n_PN3b_00001-36	reltype=after	['３', '月', '実刑', '言い渡し', '２', '労相', '問わ']	[JSP]９４年に経営破たんした旧東京協和、旧安全の両信用組合の不正融資事件に絡み、背任など４罪に問われた元労相、■■■■被告（６２）に対し、東京高裁は２５日、懲役４年の東京地裁判決（００年３月）を破棄し、改めて懲役３年６月の実刑を言い渡した。	['32', '36', '43', '51', '66', '67', '75']
A006n_PN3b_00001-42	reltype=before	['今月', '日', 'し', 'こと', 'あげ', '理由', 'し', '減刑']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['5', '6', '8', '33', '35', '43', '45', '47']
A006n_PN3b_00001-42	reltype=overlap	['今月', '日', 'し', '成立']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['6', '33', '35', '42']
A006n_PN3b_00001-42	reltype=before	['今月', '日', 'し', 'こと', 'あげ']	[JSP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことをあげた。	['6', '33', '35', '43', '45']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', '共謀']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '21', '22']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', 'さ', '企業', 'する', '経営']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '39', '40', '41', '51']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', 'さ', '不正']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '49', '51']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', 'さ', '年', '認め', 'し', 'し', 'こと', 'ない']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '51', '59', '71', '72', '75', '85', '93']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', 'さ', '年', '認め', 'し', 'し', '熟知']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '51', '59', '74', '75', '85', '93']
A006n_PN3b_00001-43	reltype=after	['５', 'ら', 'し', 'さ', '年', '認め', 'し', '懇願']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '51', '59', '75', '84', '85']
A006n_PN3b_00001-43	reltype=overlap	['５', 'ら', 'し', 'さ', '年', '認め']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['13', '19', '22', '51', '59', '75']
A006n_PN3b_00001-43	reltype=overlap	['９', '年', 'さ', 'し', '共謀']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['21', '22', '51', '57', '59']
A006n_PN3b_00001-43	reltype=vague	['９', '年', 'さ', '企業', 'する', '経営']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['39', '40', '41', '51', '57', '59']
A006n_PN3b_00001-43	reltype=overlap	['９', '年', 'さ', '不正']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['49', '51', '57', '59']
A006n_PN3b_00001-43	reltype=overlap	['９', '年', '認め', 'し', 'し', '熟知']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['22', '57', '59', '74', '75', '85']
A006n_PN3b_00001-43	reltype=overlap	['９', '年', '認め', 'し', '懇願']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['22', '57', '59', '75', '84']
